Country,Year (oldest detected isolate/case),Notes,,,,
South Korea,1996,,,,,
Japan,2009,,,,,
India,2007,No case in 2007 in India was detected to my knowledge, but the first case in France was imported from India.,,,,
South Africa,2012,,,,,
Kuwait,2014,,,,,
Venezuela,2012,,,,,
UnitedKingdom,2013,England,,,,
USA,2013,,,,,
Oman,2016,,,,,
Israel,2014,,,,,
Colombia,2014,,,,,
Spain,2016,Source translated from Spanish,,,,
Canada,2017,Acquired in India,,,,
Saudi Arabia,2017,,,,,
United Arab Emirates,2017,,,,,
Panama,2016,,,,,
China ,2011,,,,,
Germany,2009,,,,,
Austria,2018,,,,,
France,2007,Acquired in India,,,,
Belgium,2016,Acquired in Kuwait,,,,
Malaysia,2017,,,,,
Switzerland,2017,,,,,
Singapore,2012,Acquired in India,,,,
Iran,2018,,,,,
Kenya,2010,,,,,
Sudan,2019,,,,,
Russia,2016,,,,,
Italy,2019,,,,,
Australia,2016,Perhaps acquired in Kenya (hospital stay in Kenya 3 years prior),,,,
Chile,2018,Acquired in India,,,,
Pakistan,2008,,,,,
Greece,2018,,,,,
Taiwan,2017,,,,,
Netherlands,2019,Acquired in India,,,,
Bangladesh,2019,,,,,
Reunion,2015,,,,,
Mauritius,2015,Acquired in India,,,,
Poland,2019,,,,,
Romania,2022,,,,,
Portugal,2023,,,,,
Finland,2021,,,,,
Lebanon,2020,,,,,
Turkey,2020,Source translated from Turkish,,,,
Brazil,2020,,,,,
Mexico,2020,,,,,
Sweden,2020,,,,,
Norway,2016,,,,,
Ireland,2021 or 2022,"One EU report says 2021 without giving a primary source, first scientific publication detecting it says 2022",,,,
CzechRepublic,2019,,,,,
Denmark,2021,,,,,
Slovenia,2023,,,,,
Egypt,2022,Some sources claim 2019 but I can’t find the original paper. It is very likely that it has been present in egypt for longer but nobody looked for it.,,,,
Nigeria,2022,,,,,
Denmark,2022,,,,,
Algeria,2017,,,,,
Jordan ,2021,,,,,
Lebanon,2020,,,,,
Hong Kong,2019,,,,,
New Zealand,2023,,,,,
UnitedKingdom,2023,Scotland,,,,
Albania,2024,(At least),,,,
Bosnia and Herzegovina,2023,,,,,
Kosovo,2013,,,,,
Cyprus,2023,,,,,
Botswana,2022,,,,,
Costa Rica,2019,,,,,
Peru,2020,,,,,
Guatemala,2020,,,,,
Argentina,2022,,,,,
Ecuador,?,No trustworthy sources,,,,
Puerto Rico,?,No trustworthy sources,,,,